contract_type,decision_readiness_id,decision_package_id,hospital,department,dominant_kpi,risk_tier,urgency,final_readiness_status,primary_queue,main_blocking_condition,next_required_action,responsible_role,approval_status,contract_field
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,Diagnostics,Average Patient Waiting Time,,,Ready with Conditions,,stakeholder_validation_condition,All blocking conditions resolved and confirmations completed,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Operational Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Recommendation Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Baseline Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Scenario Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Comparator Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Financial Cost Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Financial Benefit Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Budget Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Lineage Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Governance Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,,,,,Management Confirmation Gate=Pass
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,stakeholder_validation_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,scenario_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,evidence_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,lineage_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,,,blocking_condition,Review and resolve before proceeding,Operations Manager,,"severity=High,blocking=True"
D. Transition Guidance,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,Ready with Conditions,,,All blocking conditions resolved and confirmations completed,,,"next=Ready for Integrated Management Review,not_executed=True"
E. Escalation,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,,Ready with Conditions,,,,,,"escalation=Not Assessable,attention=False"
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,Diagnostics,Average Patient Waiting Time,,,Not Suitable for Decision Use,,stakeholder_validation_condition,No transition available from this state,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Operational Evidence Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Recommendation Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Baseline Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Scenario Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Comparator Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Financial Cost Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Financial Benefit Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Budget Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Evidence Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Lineage Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Governance Gate=Fail
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,,,,,Management Confirmation Gate=Fail
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,stakeholder_validation_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,scenario_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,evidence_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,lineage_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,,,blocking_condition,Review and resolve before proceeding,Operations Manager,,"severity=High,blocking=True"
D. Transition Guidance,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,Not Suitable for Decision Use,,,No transition available from this state,,,"next=No eligible transition defined,not_executed=True"
E. Escalation,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,,Not Suitable for Decision Use,,,,,,"escalation=Not Assessable,attention=False"
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,Diagnostics,Average Patient Waiting Time,,,Non-Quantitative,,financial_input_condition,Sufficient governed quantitative data become available,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Operational Evidence Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Recommendation Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Baseline Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Scenario Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Comparator Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Financial Cost Gate=Not Applicable
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Financial Benefit Gate=Not Applicable
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Budget Gate=Not Applicable
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Evidence Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Lineage Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Governance Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,,,,,Management Confirmation Gate=Pass with Conditions
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,financial_input_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,stakeholder_validation_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,scenario_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,evidence_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,lineage_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,,,blocking_condition,Review and resolve before proceeding,Operations Manager,,"severity=High,blocking=True"
D. Transition Guidance,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,Non-Quantitative,,,Sufficient governed quantitative data become available,,,"next=Ready with Conditions,not_executed=True"
E. Escalation,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,,Non-Quantitative,,,,,,"escalation=Not Assessable,attention=False"
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,Diagnostics,Average Patient Waiting Time,,,Requires Stakeholder Validation,,stakeholder_validation_condition,Stakeholder confirmation received,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Operational Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Recommendation Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Baseline Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Scenario Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Comparator Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Financial Cost Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Financial Benefit Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Budget Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Lineage Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Governance Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,,,,,Management Confirmation Gate=Fail
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,stakeholder_validation_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,scenario_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,evidence_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,lineage_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,,,blocking_condition,Review and resolve before proceeding,Operations Manager,,"severity=High,blocking=True"
D. Transition Guidance,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,Requires Stakeholder Validation,,,Stakeholder confirmation received,,,"next=Ready with Conditions,not_executed=True"
E. Escalation,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,,Requires Stakeholder Validation,,,,,,"escalation=Not Assessable,attention=False"
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,Diagnostics,Average Patient Waiting Time,,,Ready with Conditions,,stakeholder_validation_condition,All blocking conditions resolved and confirmations completed,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Operational Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Recommendation Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Baseline Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Scenario Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Comparator Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Financial Cost Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Financial Benefit Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Budget Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Lineage Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Governance Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,,,,,Management Confirmation Gate=Pass
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,stakeholder_validation_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,scenario_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Moderate,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,evidence_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,lineage_completeness_condition,Review and resolve before proceeding,Operations Manager,,"severity=Low,blocking=False"
C. Conditions,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,,,blocking_condition,Review and resolve before proceeding,Operations Manager,,"severity=High,blocking=True"
D. Transition Guidance,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,Ready with Conditions,,,All blocking conditions resolved and confirmations completed,,,"next=Ready for Integrated Management Review,not_executed=True"
E. Escalation,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,,Ready with Conditions,,,,,,"escalation=Not Assessable,attention=False"
A. Readiness Summary,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,Diagnostics,Average Patient Waiting Time,,,Ready with Conditions,,stakeholder_validation_condition,All blocking conditions resolved and confirmations completed,,Pending Management Review,summary
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Operational Evidence Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Recommendation Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Baseline Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Scenario Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Comparator Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Financial Cost Gate=Pass
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Financial Benefit Gate=Pass with Conditions
B. Readiness Gates,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,,,,,,,,Budget Gate=Pass with Conditions
