explanation_id,decision_readiness_id,decision_scorecard_id,decision_package_id,current_readiness,why_assigned,main_blocking_condition,secondary_conditions,what_must_happen_next,who_is_responsible,permitted_management_action,what_status_does_not_mean,full_explanation,governance_note
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Only, This case does not currently require active intervention review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Monitoring Only. This case does not currently require active intervention review. The analytical route calls for continued observation. Monitoring requirements are present and escalation triggers are defined. Continue monitoring until escalation trigger is met. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Requires Lineage Completion, Source-to-decision lineage is incomplete or orphan references exist.,Requires Lineage Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Lineage Completion. Source-to-decision lineage is incomplete or orphan references exist. The decision record cannot be fully traced without completing lineage. Main blocking condition: Requires Lineage Completion. Resolve Requires Lineage Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Requires Assumption Validation, Scenario or recommendation assumptions remain materially unconfirmed.,Requires Assumption Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Assumption Validation. Scenario or recommendation assumptions remain materially unconfirmed. Management review would be misleading without confirmation of key assumptions. Comparator assumptions require validation before proceeding. Main blocking condition: Requires Assumption Validation. Resolve Requires Assumption Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Requires Assumption Validation, Scenario or recommendation assumptions remain materially unconfirmed.,Requires Assumption Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Assumption Validation. Scenario or recommendation assumptions remain materially unconfirmed. Management review would be misleading without confirmation of key assumptions. Comparator assumptions require validation before proceeding. Main blocking condition: Requires Assumption Validation. Resolve Requires Assumption Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,Requires Assumption Validation, Scenario or recommendation assumptions remain materially unconfirmed.,Requires Assumption Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Assumption Validation. Scenario or recommendation assumptions remain materially unconfirmed. Management review would be misleading without confirmation of key assumptions. Comparator assumptions require validation before proceeding. Main blocking condition: Requires Assumption Validation. Resolve Requires Assumption Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,Requires Stakeholder Validation, A material input or assumption requires responsible-owner confirmation.,Requires Stakeholder Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Stakeholder Validation. A material input or assumption requires responsible-owner confirmation. Stakeholder confirmation is blocking and cannot be safely resolved analytically. Main blocking condition: Requires Stakeholder Validation. Resolve Requires Stakeholder Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,DR-DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,DSC-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
