decision_action_routing_id,decision_package_id,final_readiness_status,action_routing_explanation,primary_permitted_action,main_blocking_action,main_blocking_reason,responsible_role,escalation_required,escalation_status,governance_note
DAR-4F1EEB63,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-F440C1BB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-F4DDBC83,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-0D1B0882,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-172F03A0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-5E15B5D2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-6D67FDDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-3379CCB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-89AFC945,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-F7CB6300,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-41FB30F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-0DAA31F9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-FF13F1EB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-077ECD22,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-1AB43FDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-A0994D45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-4449D247,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-AC9C2B20,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-7EA3EFC1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-DDD52643,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-568427E5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-030C7287,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-75C333A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-F88EFD84,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-162D4463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-0EB1D6E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-28449140,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-2449106E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-067AD019,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-9A7C353E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-91B6EBBA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-92BF60FE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-92A1DF16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-36F71515,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-262E2F28,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-6F15DE85,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-BA5941DA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-71A17654,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-BD126845,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-1BABE2C9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-8C498731,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-40E0245C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Only,Current readiness: Monitoring Only. Primary permitted action: Continue Monitoring. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to multiple gate failures. Responsible role: Operations Manager. Escalation requirement: No (Monitoring). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Continue Monitoring,Proceed to Limited-Trial Consideration,Action blocked due to multiple gate failures,Operations Manager,False,Monitoring,Explanation for management workflow support only
DAR-9A8C252D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Requires Stakeholder Validation,Current readiness: Requires Stakeholder Validation. Primary permitted action: Request Stakeholder Review. This action is permitted because the readiness status governs allowed actions. Main blocking action: Proceed to Limited-Trial Consideration. Reason: Action blocked due to unresolved stakeholder confirmation. Responsible role: Stakeholder Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Stakeholder Review,Proceed to Limited-Trial Consideration,Action blocked due to unresolved stakeholder confirmation,Stakeholder Owner,True,Standard Review,Explanation for management workflow support only
DAR-092C1912,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Requires Lineage Completion,Current readiness: Requires Lineage Completion. Primary permitted action: Request Lineage Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to lineage deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Lineage Completion,Review Integrated Decision Package,Action blocked due to lineage deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
