scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,baseline_id,primary_kpi_id,scenario_execution_status,final_scenario_confidence,causality_status,contradiction_severity,provisional_warning,governance_warning,assumption_profile,assumption_set_id,assumption_values_json,overall_validation_status,baseline_validation_status,numerical_validation_status,assumption_challenge_status,governance_compliance_status,tradeoff_classification,sensitivity_classification,dominance_classification,displacement_classification,evidence_id,lineage_id,closure_status
SR-BL-8A83D7DA100E5D02-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,EP-HOSP-001-DEPT-ED-kpi_001-20261008,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-8A83D7DA100E5D02,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",,,,,,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-BASE-0;EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-REC-1;EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-RECID-2;EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-COMP-3;EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-PKG-4;EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-EP-5,LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-REC-1;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-CONS-001-EP-5,Closed — Requires Revision
SR-BL-8A83D7DA100E5D02-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,EP-HOSP-001-DEPT-ED-kpi_001-20261008,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-8A83D7DA100E5D02,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",,,,,,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-BASE-0;EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-REC-1;EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-RECID-2;EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-COMP-3;EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-PKG-4;EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-EP-5,LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-REC-1;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-EXP-001-EP-5,Closed — Requires Revision
SR-BL-8A83D7DA100E5D02-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,EP-HOSP-001-DEPT-ED-kpi_001-20261008,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,BL-8A83D7DA100E5D02,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",,,,,,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-BASE-0;EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-REC-1;EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-RECID-2;EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-COMP-3;EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-PKG-4;EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-8A83D7DA100E5D02-COMP-HIGH-001-EP-5,Closed — Requires Revision
SR-BL-88A0F6715916BE3E-,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,EP-HOSP-001-DEPT-ED-kpi_001-20261008,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,BL-88A0F6715916BE3E,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,,,{},,,,,,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-096B272EC57F2D0C-,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-096B272EC57F2D0C,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},,,,,,,Direction Reversal,,,,,Closed — Unsupported
SR-BL-8DED0EB10F15C211-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-8DED0EB10F15C211,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},,,,,,Neutral,Direction Reversal,,No Displacement Identified,EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-BASE-0;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-1;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-2;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-3;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-4;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-5;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-6;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-7;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-8;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-9;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-10;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-11;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-12;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-13;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-14;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-15;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-16;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-17;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-COMP-18;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-PKG-19;EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-EP-20,LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-1;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-2;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-3;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-4;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-5;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-6;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-7;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-8;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-9;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-10;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-REC-11;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-12;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-13;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-14;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-15;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-16;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-RECID-17;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-COMP-18;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-PKG-19;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-BASE-001-EP-20,Closed — Requires Revision
SR-BL-8DED0EB10F15C211-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-8DED0EB10F15C211,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",,,,,,Benefit,Direction Reversal,,Possible Cross-KPI Displacement,EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-BASE-0;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-1;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-2;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-3;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-4;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-5;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-6;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-7;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-8;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-9;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-10;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-11;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-12;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-13;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-14;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-15;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-16;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-17;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-COMP-18;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-PKG-19;EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-EP-20,LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-1;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-2;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-3;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-4;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-5;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-6;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-7;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-8;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-9;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-10;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-REC-11;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-12;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-13;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-14;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-15;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-16;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-RECID-17;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-COMP-18;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-PKG-19;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-CONS-001-EP-20,Closed — Requires Revision
SR-BL-8DED0EB10F15C211-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-8DED0EB10F15C211,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",,,,,,Benefit,Direction Reversal,,Possible Cross-KPI Displacement,EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-BASE-0;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-1;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-2;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-3;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-4;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-5;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-6;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-7;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-8;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-9;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-10;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-11;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-12;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-13;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-14;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-15;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-16;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-17;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-COMP-18;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-PKG-19;EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-EP-20,LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-1;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-2;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-3;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-4;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-5;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-6;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-7;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-8;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-9;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-10;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-REC-11;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-12;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-13;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-14;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-15;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-16;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-RECID-17;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-COMP-18;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-PKG-19;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-EXP-001-EP-20,Closed — Requires Revision
SR-BL-8DED0EB10F15C211-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,BL-8DED0EB10F15C211,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",,,,,,Benefit,Direction Reversal,,Possible Cross-KPI Displacement,EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-BASE-0;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-1;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-2;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-3;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-4;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-5;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-6;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-7;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-8;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-9;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-10;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-11;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-12;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-13;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-14;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-15;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-16;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-17;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-COMP-18;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-PKG-19;EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-EP-20,LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-2;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-3;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-4;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-5;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-6;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-7;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-8;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-9;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-10;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-REC-11;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-12;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-13;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-14;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-15;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-16;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-RECID-17;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-COMP-18;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-PKG-19;LIN-EV-SR-BL-8DED0EB10F15C211-COMP-HIGH-001-EP-20,Closed — Requires Revision
SR-BL-7657276FB5D72668-,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,EP-HOSP-001-DEPT-ED-kpi_001-20261014,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,BL-7657276FB5D72668,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,,,{},,,,,,,Direction Reversal,,,,,Closed — Unsupported
SR-BL-9DD7F377CAC60534-,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,EP-HOSP-001-DEPT-ED-kpi_001-20261101,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-9DD7F377CAC60534,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},,,,,,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-945DADB9F3FCA786-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,EP-HOSP-001-DEPT-ED-kpi_001-20261101,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-945DADB9F3FCA786,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},,,,,,Neutral,Sensitive to Assumption Intensity,,No Displacement Identified,EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-BASE-0;EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-REC-1;EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-RECID-2;EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-COMP-3;EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-PKG-4;EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-EP-5,LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-REC-1;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-BASE-001-EP-5,Closed — Requires Revision
SR-BL-945DADB9F3FCA786-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,EP-HOSP-001-DEPT-ED-kpi_001-20261101,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-945DADB9F3FCA786,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",,,,,,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-BASE-0;EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-REC-1;EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-RECID-2;EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-COMP-3;EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-PKG-4;EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-EP-5,LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-REC-1;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-CONS-001-EP-5,Closed — Requires Revision
SR-BL-945DADB9F3FCA786-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,EP-HOSP-001-DEPT-ED-kpi_001-20261101,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-945DADB9F3FCA786,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",,,,,,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-BASE-0;EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-REC-1;EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-RECID-2;EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-COMP-3;EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-PKG-4;EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-EP-5,LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-REC-1;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-945DADB9F3FCA786-COMP-EXP-001-EP-5,Closed — Requires Revision
